CLLT_FP_PRNO,INCB_DVSN,CUST_ID,DIVIDED_SET,SIU_CUST_YN,SEX,AGE,FP_CAREER,OCCP_GRP,TOTALPREM,WEDD_YN,MAX_PRM,RGST_YEAR,RGST_MONTH,MAX_PAYM_YEAR,MAX_PAYM_MONTH,MNTH_INCM_AMT_AVG,MAIN_INSR_AMT_SUM,SUM_ORIG_PREM_SUM,EXPR_SUM,CNTT_TERM_AVG,WORK_YEARS_MAX,WORK_YEARS_MIN,EXPR_COUNT
6200,R,21137,1,Y,2,4,N,3,4,Y,3,2003,6,2003,7,850000.0,250000000.0,518000.0,2,0.0,5,1,6
2316,R,7500,2,,2,5,N,3,5,Y,11,2003,6,2005,2,3815789.4736842103,803309760.0,5102080.0,11,0.15789473684210525,8,1,19
2316,R,10550,1,N,2,5,N,3,3,Y,4,2003,11,2006,11,3916666.6666666665,250000000.0,601850.0,6,2.5,8,1,6
2316,R,16690,1,N,2,4,N,1,7,Y,5,2003,6,2006,3,2154545.4545454546,464500000.0,1408532.0,7,0.9090909090909091,44,3,11
20797,R,9226,2,,2,6,N,7,3,Y,5,2003,6,2015,3,1125000.0,110000000.0,746045.0,1,1.25,22,6,4
26245,R,2383,1,N,2,4,N,3,5,Y,4,1993,11,2012,2,2200000.0,167451050.0,980823.0,7,4.818181818181818,18,18,11
21030,R,11530,1,N,2,6,N,3,2,Y,7,2003,6,2001,9,1490000.0,297400000.0,1364456.0,4,0.0,18,9,10
26262,R,20442,1,N,2,6,N,25,1,Y,2,2003,6,2001,6,3500000.0,83351233.0,7264350.0,1,0.0,11,0,4
29464,R,15652,1,N,2,3,N,9,10,Y,20,2001,8,2007,5,2164285.714285714,725599910.0,5749085.0,13,0.5,10,10,28
5481,R,14222,1,Y,2,4,N,3,5,Y,3,2003,6,2006,2,1718421.0526315789,611746964.0,6094983.0,8,0.10526315789473684,22,1,19
25425,P,7792,1,N,2,4,N,2,1,Y,3,2003,6,2011,12,2125000.0,477984750.0,1265385.0,9,8.25,27,2,12
25425,P,11904,1,N,2,5,N,8,1,Y,2,2003,6,2003,12,1357142.857142857,248000000.0,480650.0,2,0.14285714285714285,21,6,7
25425,P,16705,1,N,2,4,N,9,1,Y,3,2003,6,2010,4,2045454.5454545454,331375180.0,2043132.0,5,0.18181818181818182,21,3,11
25425,P,21122,1,N,2,4,N,2,11,Y,9,2003,6,2008,3,2535714.285714286,495692466.0,18352934.0,11,0.7142857142857143,21,0,14
25425,P,21170,1,N,2,4,N,3,3,Y,3,2003,6,2011,4,2714285.714285714,314000000.0,744034.0,4,1.5714285714285714,21,1,7
25425,P,21351,1,N,2,3,N,1,3,Y,3,2003,6,2015,9,2171428.5714285714,323257937.0,10627415.0,4,1.1428571428571428,21,2,7
6720,R,14012,1,N,1,5,N,6,1,Y,1,2003,6,2003,11,437500.0,108000000.0,243855.0,1,3.5,3,0,4
3729,R,10193,1,N,2,3,N,3,0,Y,1,2003,6,2016,6,1460000.0,56500000.0,321232.0,2,3.6,6,1,5
7550,R,5072,1,Y,2,5,N,2,4,Y,3,2003,6,2013,9,300000.0,90000000.0,318000.0,1,0.0,11,11,1
7550,R,19448,1,N,2,5,N,3,1,Y,1,2001,4,2007,3,2666666.6666666665,110000000.0,343380.0,3,1.6666666666666667,11,1,3
30446,R,3151,1,N,1,4,N,8,10,Y,10,2003,6,2015,9,2857142.8571428573,336000000.0,1138945.0,6,1.8571428571428572,14,9,7
30446,R,9390,1,N,2,5,N,3,4,Y,4,2003,6,2010,10,1870000.0,309200000.0,1162371.0,5,2.4,14,3,10
30446,R,10584,1,N,2,3,N,3,3,Y,3,2004,2,2012,2,1437500.0,131000000.0,2390528.0,2,2.5,14,14,4
5642,R,20404,1,N,1,7,N,1,3,Y,1,2003,6,2004,3,0.0,52000000.0,263720.0,0,0.16666666666666666,17,1,6
6974,R,1705,1,N,1,3,N,2,1,Y,1,2004,1,2004,3,200000.0,100000000.0,181550.0,1,7.0,2,2,1
2224,R,2839,1,Y,2,5,N,3,8,Y,6,2003,6,2007,1,1888888.888888889,193800000.0,26333508.0,7,2.4444444444444446,11,1,9
2224,R,4697,2,,2,4,Y,3,1,Y,1,1999,10,2000,3,4769230.769230769,375306590.0,2841623.0,5,5.384615384615385,7,1,13
26116,R,5028,1,N,2,5,N,9,4,Y,4,2003,6,2006,12,1821428.5714285714,220000000.0,568092.0,3,0.0,8,1,7
24044,R,11855,1,N,2,5,N,3,14,Y,8,2003,6,2016,6,4680000.0,301820117.0,3686719.0,7,0.0,17,3,10
7172,R,9967,1,N,1,4,N,8,5,Y,6,2003,6,2004,7,2142857.1428571427,381297166.0,2100175.0,7,1.9285714285714286,19,1,14
7060,R,19117,1,N,2,3,N,1,0,Y,0,2003,6,2004,5,1566666.6666666667,85000000.0,171700.0,1,0.0,1,1,3
21634,P,619,1,N,2,5,N,2,14,Y,13,2003,6,2006,5,2062500.0,323452000.0,21891496.0,6,1.375,27,4,8
21634,P,761,1,N,2,5,N,3,29,Y,167,2003,6,2011,6,3103703.703703704,1220113927.0,8484401.0,25,1.2592592592592593,27,8,27
8020,R,12865,2,,2,4,N,9,3,Y,4,2004,6,2006,5,3000000.0,109000000.0,306361.0,2,2.0,3,3,5
8020,R,15761,1,N,2,4,Y,9,18,Y,20,2000,7,2007,9,2180952.380952381,375341482.0,10986385.0,12,0.5714285714285714,8,1,21
7623,R,7460,1,N,1,5,N,9,0,Y,2,2003,6,2014,9,3250000.0,89000000.0,482614.0,3,0.0,5,1,4
7623,R,15125,1,N,2,4,N,3,0,Y,1,2004,6,2012,12,2883333.3333333335,200794150.0,593727.0,4,3.6666666666666665,3,2,6
1595,R,20441,1,N,1,6,N,7,1,Y,4,2003,6,2002,6,1344444.4444444445,160970927.0,1205660.0,2,0.0,7,2,9
7325,R,7205,2,,2,6,N,3,6,Y,7,2003,6,2008,11,2227272.727272727,310291913.0,1363261.0,8,0.5454545454545454,14,0,11
6170,R,11312,1,N,2,5,Y,3,6,Y,5,1993,6,2005,3,1936363.6363636365,441042784.0,2288197.0,6,0.09090909090909091,21,0,11
27013,P,19474,1,N,1,5,N,8,5,Y,10,2002,7,2011,7,3500000.0,116800000.0,1316614.0,2,1.75,23,3,4
27284,P,9411,1,Y,2,5,N,8,2,Y,1,2003,6,2009,1,1900000.0,112291740.0,2531655.0,3,0.2,30,20,5
21866,P,13402,2,,2,6,N,3,0,Y,3,2000,12,2008,5,1625000.0,120000000.0,447100.0,2,0.0,27,27,4
25938,R,20766,1,Y,2,5,N,9,1,Y,3,2003,6,2006,10,2041666.6666666667,352490000.0,1104797.0,6,0.08333333333333333,9,5,12
3306,R,2767,1,N,1,5,N,6,3,Y,1,2003,6,2003,5,3333333.3333333335,79000000.0,673300.0,2,0.3333333333333333,8,8,3
3834,R,14027,1,N,1,5,N,7,3,Y,1,2003,6,1999,1,1333333.3333333333,198994310.0,2050404.0,3,0.4166666666666667,14,0,12
8351,R,7152,1,N,2,6,N,25,16,Y,9,2003,6,2004,12,2494444.4444444445,521951290.0,7617957.0,8,1.8888888888888888,11,1,18
8367,R,16022,1,N,1,6,N,1,4,Y,6,2003,6,2000,1,1090909.0909090908,215201796.0,937800.0,0,0.0,2,2,11
29474,P,9724,1,N,2,5,N,1,1,Y,6,2003,6,2008,12,2750000.0,192000000.0,908395.0,4,11.75,19,1,4
29474,P,10915,1,N,2,5,N,2,1,Y,1,2008,7,2016,6,5000000.0,30000000.0,155052.0,1,4.0,19,19,1
29378,R,11313,1,N,2,5,Y,9,1,Y,1,1996,8,2014,9,2400000.0,124468520.0,3602951.0,4,0.0,18,11,5
23200,R,14378,1,Y,2,4,N,3,6,Y,4,2003,6,2014,5,2200000.0,162400000.0,10593520.0,3,1.75,15,2,4
23200,R,16689,1,N,2,4,N,18,0,Y,1,2003,6,2003,5,3608333.3333333335,415000000.0,22310353.0,10,0.0,15,15,12
8885,R,19468,1,N,1,5,N,1,9,Y,12,2000,12,2011,1,4083333.3333333335,346000000.0,2018100.0,6,2.0,10,1,6
8340,R,10658,1,N,2,5,N,3,0,Y,0,2004,11,2016,6,1600000.0,160000000.0,321019.0,2,1.6666666666666667,13,2,3
7867,P,8,1,N,1,5,Y,2,15,Y,102,1999,10,2006,10,4100000.0,1797991770.0,16400970.0,22,0.4583333333333333,13,1,24
1733,R,111,1,N,2,5,Y,2,26,Y,20,1991,7,2009,4,1810000.0,578180239.0,53313630.0,8,3.1,23,1,20
1733,R,18597,1,N,1,5,N,1,31,Y,35,2003,6,2016,4,5200000.0,905089384.0,7869156.0,9,2.8666666666666667,18,3,15
29010,R,16243,1,N,2,5,N,3,2,Y,1,2003,6,2006,3,3000000.0,40000000.0,143680.0,1,3.0,13,13,1
4764,P,18622,1,N,2,5,N,20,7,Y,5,2003,6,2008,6,1500000.0,30000000.0,547400.0,1,5.5,15,0,2
25624,P,9529,1,Y,2,5,N,2,1,Y,3,2003,6,2002,7,1000000.0,143618722.0,572900.0,1,0.0,21,0,10
25624,P,13878,1,Y,2,5,N,3,6,Y,7,2003,6,2012,9,3475000.0,156800000.0,1433973.0,7,1.5,21,21,8
25624,P,14340,1,N,1,4,N,1,1,Y,2,2003,6,2007,5,4000000.0,546600000.0,4394677.0,7,0.7777777777777778,21,6,9
25624,P,21270,1,Y,2,4,N,2,1,Y,3,2003,6,2002,8,1307692.3076923077,335791825.0,777620.0,3,0.23076923076923078,21,5,13
2356,P,726,1,N,2,5,N,2,6,Y,14,2003,6,2016,3,8000000.0,640000000.0,1476233.0,5,2.2,16,16,5
2356,P,11810,1,N,2,5,N,2,12,Y,42,2003,6,2006,7,15000000.0,465000000.0,5163016.0,6,1.5454545454545454,16,1,11
9512,P,20704,1,N,2,5,N,4,5,Y,8,2003,6,2005,8,2190000.0,555200000.0,2640270.0,12,2.357142857142857,17,2,14
8863,R,15671,1,Y,2,5,N,9,3,Y,4,2002,1,1999,5,1909090.9090909092,232998070.0,2828292.0,6,0.36363636363636365,29,1,11
22821,R,7612,1,N,1,4,N,17,2,Y,3,2003,6,2016,6,3833333.3333333335,300800000.0,1211841.0,5,0.3333333333333333,18,14,6
9303,R,19730,1,N,2,6,Y,3,0,Y,0,2005,8,2016,5,3000000.0,60000000.0,43170.0,0,0.0,3,3,2
10054,R,18637,2,,1,5,N,8,1,Y,10,2003,6,2003,4,3000000.0,897856000.0,3783193.0,11,0.06666666666666667,10,1,15
23762,P,21704,2,,1,4,N,2,1,Y,3,2002,7,2007,5,5000000.0,100000000.0,331700.0,2,1.5,23,23,2
6371,P,10363,1,N,1,6,N,12,2,Y,2,2001,12,2011,12,2200000.0,195000000.0,700212.0,4,0.4,14,14,5
9481,R,2353,1,N,2,5,Y,2,4,Y,5,1998,4,2014,6,2531250.0,392081573.0,1849936.0,12,1.1875,20,0,16
22097,P,15861,1,N,1,7,N,25,0,Y,0,2003,6,2016,6,1333333.3333333333,70000000.0,165200.0,0,0.0,26,21,3
1599,P,872,1,N,2,4,N,3,0,Y,2,2003,6,2004,5,2071428.5714285714,537324039.0,1392076.0,3,0.8571428571428571,17,3,7
1599,P,12716,2,,2,3,N,3,0,Y,2,2000,5,2012,8,1550000.0,100000000.0,378740.0,2,0.25,17,5,4
1599,P,14573,1,N,1,3,N,10,2,Y,3,2003,6,2006,3,2000000.0,162600460.0,2564950.0,4,0.8,17,4,5
8639,R,18996,1,N,2,4,N,2,0,Y,1,2003,6,2015,5,2500000.0,206000000.0,518600.0,4,3.0,5,2,6
10277,R,17524,1,Y,2,4,N,3,2,Y,2,2005,12,2010,12,4333333.333333333,87000000.0,278286.0,1,1.0,1,1,3
10394,R,14309,1,N,2,4,Y,3,2,Y,3,2003,6,2015,12,4250000.0,295645161.0,858444.0,6,0.375,7,1,8
22563,R,16553,1,N,2,4,N,3,5,Y,31,2003,6,2008,7,2375000.0,791607464.0,5445897.0,12,0.625,17,1,16
4450,R,2267,2,,2,5,Y,9,21,Y,24,2001,7,2013,10,3788297.8723404254,3670595973.0,15726424.0,70,0.6808510638297872,26,0,94
21575,P,7409,1,N,2,5,N,9,5,Y,5,2003,6,2008,6,2545454.5454545454,247166620.0,4058560.0,5,0.2727272727272727,27,2,11
21575,P,18375,1,N,2,6,N,3,2,Y,3,2003,6,2006,6,2000000.0,92734202.0,3018600.0,3,0.0,27,1,3
11037,R,6385,1,Y,2,4,N,1,0,Y,0,2005,12,2016,6,2000000.0,50000000.0,46150.0,0,1.0,1,1,1
4872,R,11842,1,N,2,5,N,24,1,Y,2,2003,6,2008,11,1900000.0,47000000.0,209180.0,0,0.0,13,4,3
10046,R,5505,1,N,1,4,N,8,0,Y,0,2003,6,2000,12,2175000.0,211051000.0,1266710.0,4,0.875,11,1,8
