,INCB_DVSN,SIU_CUST_YN,SEX,AGE,FP_CAREER,OCCP_GRP,TOTALPREM,WEDD_YN,MAX_PRM,RGST_YEAR,RGST_MONTH,MAX_PAYM_YEAR,MAX_PAYM_MONTH,MNTH_INCM_AMT_AVG,MAIN_INSR_AMT_SUM,SUM_ORIG_PREM_SUM,EXPR_SUM,CNTT_TERM_AVG,WORK_YEARS_MAX,WORK_YEARS_MIN,EXPR_COUNT
0,1,1,2,4,0,3,4,1,3,2003,6,2003,7,850000.0,250000000.0,518000.0,2,0.0,5,1,6
2,1,0,2,5,0,3,3,1,4,2003,11,2006,11,3916666.6666666665,250000000.0,601850.0,6,2.5,8,1,6
3,1,0,2,4,0,1,7,1,5,2003,6,2006,3,2154545.4545454546,464500000.0,1408532.0,7,0.9090909090909092,44,3,11
5,1,0,2,4,0,3,5,1,4,1993,11,2012,2,2200000.0,167451050.0,980823.0,7,4.818181818181818,18,18,11
6,1,0,2,6,0,3,2,1,7,2003,6,2001,9,1490000.0,297400000.0,1364456.0,4,0.0,18,9,10
7,1,0,2,6,0,25,1,1,2,2003,6,2001,6,3500000.0,83351233.0,7264350.0,1,0.0,11,0,4
8,1,0,2,3,0,9,10,1,20,2001,8,2007,5,2164285.714285714,725599910.0,5749085.0,13,0.5,10,10,28
9,1,1,2,4,0,3,5,1,3,2003,6,2006,2,1718421.0526315789,611746964.0,6094983.0,8,0.1052631578947368,22,1,19
10,2,0,2,4,0,2,1,1,3,2003,6,2011,12,2125000.0,477984750.0,1265385.0,9,8.25,27,2,12
11,2,0,2,5,0,8,1,1,2,2003,6,2003,12,1357142.857142857,248000000.0,480650.0,2,0.1428571428571428,21,6,7
12,2,0,2,4,0,9,1,1,3,2003,6,2010,4,2045454.5454545452,331375180.0,2043132.0,5,0.1818181818181818,21,3,11
13,2,0,2,4,0,2,11,1,9,2003,6,2008,3,2535714.285714286,495692466.0,18352934.0,11,0.7142857142857143,21,0,14
14,2,0,2,4,0,3,3,1,3,2003,6,2011,4,2714285.714285714,314000000.0,744034.0,4,1.5714285714285714,21,1,7
15,2,0,2,3,0,1,3,1,3,2003,6,2015,9,2171428.571428572,323257937.0,10627415.0,4,1.1428571428571428,21,2,7
16,1,0,1,5,0,6,1,1,1,2003,6,2003,11,437500.0,108000000.0,243855.0,1,3.5,3,0,4
17,1,0,2,3,0,3,0,1,1,2003,6,2016,6,1460000.0,56500000.0,321232.0,2,3.6,6,1,5
18,1,1,2,5,0,2,4,1,3,2003,6,2013,9,300000.0,90000000.0,318000.0,1,0.0,11,11,1
19,1,0,2,5,0,3,1,1,1,2001,4,2007,3,2666666.6666666665,110000000.0,343380.0,3,1.6666666666666667,11,1,3
20,1,0,1,4,0,8,10,1,10,2003,6,2015,9,2857142.8571428573,336000000.0,1138945.0,6,1.8571428571428568,14,9,7
21,1,0,2,5,0,3,4,1,4,2003,6,2010,10,1870000.0,309200000.0,1162371.0,5,2.4,14,3,10
22,1,0,2,3,0,3,3,1,3,2004,2,2012,2,1437500.0,131000000.0,2390528.0,2,2.5,14,14,4
23,1,0,1,7,0,1,3,1,1,2003,6,2004,3,0.0,52000000.0,263720.0,0,0.1666666666666666,17,1,6
24,1,0,1,3,0,2,1,1,1,2004,1,2004,3,200000.0,100000000.0,181550.0,1,7.0,2,2,1
25,1,1,2,5,0,3,8,1,6,2003,6,2007,1,1888888.888888889,193800000.0,26333508.0,7,2.4444444444444446,11,1,9
27,1,0,2,5,0,9,4,1,4,2003,6,2006,12,1821428.5714285716,220000000.0,568092.0,3,0.0,8,1,7
28,1,0,2,5,0,3,14,1,8,2003,6,2016,6,4680000.0,301820117.0,3686719.0,7,0.0,17,3,10
29,1,0,1,4,0,8,5,1,6,2003,6,2004,7,2142857.1428571427,381297166.0,2100175.0,7,1.9285714285714288,19,1,14
