,SIU_CUST_YN,SEX,AGE,FP_CAREER,OCCP_GRP,TOTALPREM,MAX_PAYM_YEAR,MAX_PAYM_MONTH,MAIN_INSR_AMT_SUM,EXPR_SUM,WORK_YEARS_MIN,EXPR_COUNT
0,1,2,4,0,3,4,2003,7,250000000.0,2,1,6
2,0,2,5,0,3,3,2006,11,250000000.0,6,1,6
3,0,2,4,0,1,7,2006,3,464500000.0,7,3,11
5,0,2,4,0,3,5,2012,2,167451050.0,7,18,11
6,0,2,6,0,3,2,2001,9,297400000.0,4,9,10
7,0,2,6,0,25,1,2001,6,83351233.0,1,0,4
8,0,2,3,0,9,10,2007,5,725599910.0,13,10,28
9,1,2,4,0,3,5,2006,2,611746964.0,8,1,19
10,0,2,4,0,2,1,2011,12,477984750.0,9,2,12
11,0,2,5,0,8,1,2003,12,248000000.0,2,6,7
12,0,2,4,0,9,1,2010,4,331375180.0,5,3,11
13,0,2,4,0,2,11,2008,3,495692466.0,11,0,14
14,0,2,4,0,3,3,2011,4,314000000.0,4,1,7
15,0,2,3,0,1,3,2015,9,323257937.0,4,2,7
16,0,1,5,0,6,1,2003,11,108000000.0,1,0,4
17,0,2,3,0,3,0,2016,6,56500000.0,2,1,5
18,1,2,5,0,2,4,2013,9,90000000.0,1,11,1
19,0,2,5,0,3,1,2007,3,110000000.0,3,1,3
20,0,1,4,0,8,10,2015,9,336000000.0,6,9,7
21,0,2,5,0,3,4,2010,10,309200000.0,5,3,10
22,0,2,3,0,3,3,2012,2,131000000.0,2,14,4
23,0,1,7,0,1,3,2004,3,52000000.0,0,1,6
24,0,1,3,0,2,1,2004,3,100000000.0,1,2,1
25,1,2,5,0,3,8,2007,1,193800000.0,7,1,9
27,0,2,5,0,9,4,2006,12,220000000.0,3,1,7
28,0,2,5,0,3,14,2016,6,301820117.0,7,3,10
29,0,1,4,0,8,5,2004,7,381297166.0,7,1,14
30,0,2,3,0,1,0,2004,5,85000000.0,1,1,3
31,0,2,5,0,2,14,2006,5,323452000.0,6,4,8
32,0,2,5,0,3,29,2011,6,1220113927.0,25,8,27
34,0,2,4,1,9,18,2007,9,375341482.0,12,1,21
35,0,1,5,0,9,0,2014,9,89000000.0,3,1,4
36,0,2,4,0,3,0,2012,12,200794150.0,4,2,6
37,0,1,6,0,7,1,2002,6,160970927.0,2,2,9
39,0,2,5,1,3,6,2005,3,441042784.0,6,0,11
40,0,1,5,0,8,5,2011,7,116800000.0,2,3,4
41,1,2,5,0,8,2,2009,1,112291740.0,3,20,5
43,1,2,5,0,9,1,2006,10,352490000.0,6,5,12
44,0,1,5,0,6,3,2003,5,79000000.0,2,8,3
45,0,1,5,0,7,3,1999,1,198994310.0,3,0,12
46,0,2,6,0,25,16,2004,12,521951290.0,8,1,18
47,0,1,6,0,1,4,2000,1,215201796.0,0,2,11
48,0,2,5,0,1,1,2008,12,192000000.0,4,1,4
49,0,2,5,0,2,1,2016,6,30000000.0,1,19,1
50,0,2,5,1,9,1,2014,9,124468520.0,4,11,5
51,1,2,4,0,3,6,2014,5,162400000.0,3,2,4
52,0,2,4,0,18,0,2003,5,415000000.0,10,15,12
53,0,1,5,0,1,9,2011,1,346000000.0,6,1,6
54,0,2,5,0,3,0,2016,6,160000000.0,2,2,3
55,0,1,5,1,2,15,2006,10,1797991770.0,22,1,24
56,0,2,5,1,2,26,2009,4,578180239.0,8,1,20
57,0,1,5,0,1,31,2016,4,905089384.0,9,3,15
58,0,2,5,0,3,2,2006,3,40000000.0,1,13,1
59,0,2,5,0,20,7,2008,6,30000000.0,1,0,2
60,1,2,5,0,2,1,2002,7,143618722.0,1,0,10
61,1,2,5,0,3,6,2012,9,156800000.0,7,21,8
62,0,1,4,0,1,1,2007,5,546600000.0,7,6,9
63,1,2,4,0,2,1,2002,8,335791825.0,3,5,13
64,0,2,5,0,2,6,2016,3,640000000.0,5,16,5
65,0,2,5,0,2,12,2006,7,465000000.0,6,1,11
66,0,2,5,0,4,5,2005,8,555200000.0,12,2,14
67,1,2,5,0,9,3,1999,5,232998070.0,6,1,11
68,0,1,4,0,17,2,2016,6,300800000.0,5,14,6
69,0,2,6,1,3,0,2016,5,60000000.0,0,3,2
72,0,1,6,0,12,2,2011,12,195000000.0,4,14,5
73,0,2,5,1,2,4,2014,6,392081573.0,12,0,16
74,0,1,7,0,25,0,2016,6,70000000.0,0,21,3
75,0,2,4,0,3,0,2004,5,537324039.0,3,3,7
77,0,1,3,0,10,2,2006,3,162600460.0,4,4,5
78,0,2,4,0,2,0,2015,5,206000000.0,4,2,6
79,1,2,4,0,3,2,2010,12,87000000.0,1,1,3
80,0,2,4,1,3,2,2015,12,295645161.0,6,1,8
81,0,2,4,0,3,5,2008,7,791607464.0,12,1,16
83,0,2,5,0,9,5,2008,6,247166620.0,5,2,11
84,0,2,6,0,3,2,2006,6,92734202.0,3,1,3
85,1,2,4,0,1,0,2016,6,50000000.0,0,1,1
86,0,2,5,0,24,1,2008,11,47000000.0,0,4,3
87,0,1,4,0,8,0,2000,12,211051000.0,4,1,8
88,0,1,4,0,8,0,2003,2,267485464.0,9,2,11
89,0,2,4,0,19,3,2011,6,155000000.0,2,6,3
90,0,2,4,0,3,2,2015,8,72000000.0,2,8,2
91,0,2,6,0,3,0,2007,9,50000000.0,0,4,2
92,0,1,5,0,2,8,2002,3,226000000.0,1,1,6
93,0,2,5,0,3,1,2006,11,35000000.0,0,1,4
95,0,2,4,0,3,1,2010,1,385357860.0,8,0,11
96,0,1,3,0,6,0,2008,3,45000000.0,2,5,2
98,0,2,4,0,3,0,2007,5,45000000.0,1,1,4
99,0,2,5,0,3,0,2005,7,175000000.0,2,1,5
100,0,2,6,0,3,0,2007,9,20000000.0,1,2,1
101,0,1,6,0,12,0,2013,2,90000000.0,1,1,5
102,0,2,4,0,1,8,2003,4,296000000.0,8,2,10
104,0,2,6,0,25,3,1999,8,154854635.0,3,28,5
105,0,2,3,0,2,0,2008,11,35000000.0,0,5,3
106,1,2,3,0,3,0,2007,8,125000000.0,2,5,3
107,0,2,4,0,3,1,2010,8,100000000.0,2,1,2
108,0,2,6,0,2,6,2003,7,133028523.0,1,1,6
110,0,2,4,0,19,3,2007,9,130000000.0,5,4,5
111,0,2,4,0,15,0,2008,7,80000000.0,2,1,4
112,1,2,5,1,3,5,2002,10,1091016256.0,14,1,21
113,0,1,4,0,2,1,2016,6,30000000.0,0,1,3
114,0,2,5,0,2,3,2008,2,143114320.0,4,0,6
