CLLT_FP_PRNO,INCB_DVSN,ETRS_YM,FIRE_YM,BEFO_JOB,EDGB,BRCH_CODE
6200,R,200306,200407,기타,고졸,25.0
2316,R,200104,200904,보험관계인,대학원졸,11.0
6207,R,200306,200311,무직,고졸,32.0
20797,R,198605,200804,기타,고졸,59.0
26245,R,199707,201508,기타,고졸,207.0
5175,R,200202,201002,기타,고졸,262.0
5224,R,200202,201107,보험관계인,고졸,273.0
21030,R,198809,200606,기타,고졸,129.0
26262,R,199706,200502,무직,고졸,78.0
29464,R,199811,200804,기타,고졸,45.0
6478,R,200308,201401,기타,#,21.0
27922,R,199812,200504,보험관계인,고졸,198.0
5481,R,200208,200502,기타,고졸,47.0
25683,R,199605,201204,기타,전문대졸,160.0
25425,P,199604,999912,기타,#,121.0
6720,R,200310,200403,무직,#,103.0
22629,P,199201,999912,기타,고졸,167.0
5469,R,200208,200504,기타,고졸,42.0
3729,R,200108,200408,기타,고졸,204.0
3829,R,200111,200508,보험관계인,고졸,44.0
7389,R,200402,200412,기타,#,45.0
6668,R,200309,200407,기타,#,10.0
29681,R,199904,200411,기타,#,19.0
7550,R,200403,201503,기타,#,42.0
30446,R,199907,201311,무직,#,44.0
5642,R,200303,200408,기타,대학졸,204.0
6974,R,200312,200502,기타,#,17.0
2224,R,200104,200408,보험관계인,#,204.0
26116,R,199711,200507,기타,고졸,16.0
24044,R,199506,201205,기타,고졸,58.0
7172,R,200401,200511,기타,#,141.0
7060,R,200312,200408,기타,고졸,74.0
6232,R,200307,200708,무직,고졸,196.0
21634,P,199007,999912,기타,#,29.0
26441,R,199706,200706,기타,고졸,59.0
8020,R,200406,200709,무직,고졸,37.0
7623,R,200404,200707,기타,#,117.0
1595,R,200005,200711,기타,고졸,111.0
7325,R,200402,200407,기타,고졸,16.0
6170,R,200306,200407,기타,고졸,105.0
29632,R,199910,200409,무직,고졸,62.0
27013,P,199708,999912,기타,고졸,136.0
8058,R,200407,200710,기타,고졸,45.0
2879,R,200102,200412,보험관계인,고졸,86.0
27284,P,199708,999912,기타,고졸,318.0
8143,R,200407,200505,기타,고졸,146.0
21866,P,199011,999912,기타,#,55.0
25938,R,199703,200612,기타,#,117.0
3306,R,200104,200903,보험관계인,고졸,147.0
3834,R,200111,200504,보험관계인,#,219.0
8351,R,200408,200511,기타,#,106.0
8137,R,200407,200508,기타,#,134.0
8367,R,200408,200603,보험관계인,고졸,68.0
29474,P,199811,999912,자유업,고졸,14.0
29378,R,199812,200910,기타,고졸,156.0
23200,R,199309,200803,기타,고졸,158.0
8885,R,200501,200611,기타,전문대졸,107.0
8434,R,200409,200606,기타,대학졸,37.0
8340,R,200408,200606,보험관계인,고졸,98.0
21412,R,198908,200704,기타,고졸,128.0
8861,R,200501,200508,자유업,대학졸,80.0
8850,R,200412,200607,무직,대학졸,98.0
7867,P,200405,999912,보험관계인,#,269.0
