,CUST_ID,DIVIDED_SET,SIU_CUST_YN,SEX,AGE,RESI_COST,RESI_TYPE_CODE,FP_CAREER,OCCP_GRP,TOTALPREM,WEDD_YN,MATE_OCCP_GRP,CHLD_CNT,LTBN_CHLD_AGE,MAX_PRM,RGST_YEAR,RGST_MONTH,MAX_PAYM_YEAR,MAX_PAYM_MONTH
0,1,1,N,2,4,21111,20.0,N,1,14,Y,8,2.0,13.0,3,1999,10,2008,11
1,2,1,N,1,5,40000,20.0,N,1,9,Y,3,2.0,17.0,3,1999,10,2000,12
5,6,1,N,1,6,6218,99.0,N,11,2,Y,3,1.0,34.0,0,1999,10,2016,6
7,8,1,N,1,5,86527,20.0,Y,2,15,Y,9,1.0,21.0,102,1999,10,2006,10
8,9,1,N,1,5,22638,20.0,N,10,0,Y,10,1.0,13.0,0,1999,10,2002,7
9,12,1,N,1,5,37222,20.0,N,17,13,Y,4,2.0,23.0,7,1999,10,2004,3
10,13,1,Y,1,6,8140,50.0,N,6,3,Y,5,0.0,0.0,4,1999,10,1998,12
11,15,1,N,1,5,23055,20.0,N,1,3,Y,3,0.0,0.0,5,1999,10,2005,12
12,16,1,N,2,5,6684,12.0,N,3,7,Y,1,0.0,0.0,20,1999,10,2013,1
13,17,1,N,1,6,14027,20.0,N,8,1,Y,3,0.0,0.0,2,1999,10,2003,5
14,18,1,N,1,4,33333,20.0,N,8,1,Y,18,4.0,6.0,4,1999,10,2013,10
15,19,1,N,1,6,15833,20.0,N,2,1,Y,3,1.0,34.0,3,1999,11,1999,7
16,20,1,N,1,5,28888,20.0,N,2,5,Y,9,2.0,23.0,1,2000,3,2012,3
18,22,1,N,2,5,4309,12.0,Y,9,5,Y,2,2.0,22.0,4,2001,2,2012,8
19,23,1,N,1,8,7813,40.0,N,9,0,Y,9,0.0,0.0,0,2001,2,2015,8
20,24,1,N,2,5,1471,11.0,N,2,6,Y,1,1.0,35.0,5,2001,3,2004,9
21,25,1,N,2,4,30000,20.0,N,3,5,Y,5,2.0,15.0,21,2001,3,2006,10
22,26,1,Y,2,5,15555,20.0,Y,9,11,Y,2,2.0,28.0,19,2001,4,2001,3
23,27,1,N,1,5,36111,20.0,N,6,1,Y,4,2.0,29.0,2,2001,4,2003,1
24,28,1,N,1,6,17777,20.0,N,1,21,Y,9,1.0,29.0,26,2001,5,2011,8
26,30,1,N,2,5,4865,30.0,N,3,1,Y,9,0.0,0.0,2,2001,6,2000,10
28,32,1,N,2,5,15194,99.0,Y,3,3,Y,9,4.0,22.0,9,2001,6,2002,8
29,33,1,N,2,4,8888,20.0,N,12,1,Y,2,1.0,22.0,3,2001,7,2000,2
30,34,1,N,2,4,18888,20.0,N,3,1,Y,8,2.0,17.0,1,2001,7,2004,2
31,35,1,N,1,5,34631,20.0,N,8,3,Y,3,2.0,23.0,4,2001,7,2009,11
33,37,2,,2,4,14027,20.0,N,3,5,Y,1,2.0,19.0,4,2001,7,2003,2
34,38,1,N,2,4,13427,40.0,N,3,3,Y,2,2.0,17.0,3,2001,8,2005,11
35,39,1,N,2,4,8147,40.0,N,3,2,Y,6,2.0,8.0,1,2001,8,2009,3
36,40,1,N,1,5,7916,20.0,N,1,2,Y,3,2.0,22.0,2,2001,8,2015,10
37,41,1,N,2,4,15311,40.0,N,3,1,Y,12,2.0,19.0,3,2001,8,2001,2
38,42,1,N,2,5,10000,30.0,Y,3,1,Y,1,1.0,35.0,1,2001,8,2000,7
39,43,1,N,2,4,27777,20.0,N,9,2,Y,8,1.0,18.0,1,2001,8,2006,3
40,44,1,N,2,6,9861,20.0,N,3,2,Y,1,1.0,33.0,2,2001,8,2008,8
41,45,1,N,2,5,10555,20.0,N,9,5,Y,8,2.0,27.0,11,2001,8,2002,3
42,46,1,N,2,6,6666,20.0,N,9,4,Y,8,0.0,0.0,2,2001,9,2011,7
43,47,1,N,2,4,10441,99.0,Y,3,2,Y,12,3.0,18.0,5,2001,9,2003,2
44,48,1,N,2,4,20416,20.0,Y,2,5,Y,1,4.0,13.0,5,2001,9,2006,8
45,49,1,N,2,5,15015,11.0,N,3,16,Y,15,0.0,0.0,10,2001,9,2003,12
46,50,1,N,2,6,9189,99.0,N,3,8,Y,7,1.0,34.0,14,2001,9,2003,4
47,51,2,,2,4,26250,20.0,Y,9,16,Y,1,1.0,20.0,20,2001,10,2016,1
48,52,1,N,1,5,26944,20.0,N,8,0,Y,3,2.0,24.0,0,2001,10,1998,7
52,56,1,Y,2,5,7271,11.0,N,2,13,Y,2,0.0,0.0,12,2001,11,2015,5
58,62,1,N,1,4,19444,20.0,N,1,2,Y,2,2.0,15.0,2,2002,1,2002,7
59,63,1,Y,2,5,12326,12.0,Y,9,3,Y,1,4.0,26.0,2,2002,1,2002,8
60,64,1,N,2,6,50972,20.0,N,2,13,Y,2,1.0,33.0,15,2002,3,2014,6
61,65,2,,1,4,1603,13.0,N,6,0,Y,3,3.0,13.0,0,2002,3,2003,5
62,66,1,Y,2,4,13333,20.0,N,9,1,Y,13,3.0,18.0,3,2002,3,2002,8
64,68,1,N,2,4,30000,20.0,N,8,10,Y,1,2.0,17.0,15,2002,5,2003,6
65,69,1,N,2,5,6291,12.0,N,2,11,Y,8,2.0,27.0,31,2002,5,2011,7
66,70,1,N,1,6,3638,11.0,N,2,8,Y,9,3.0,23.0,6,2002,6,2003,5
68,72,1,N,2,6,8055,20.0,N,3,2,Y,9,0.0,0.0,2,2002,7,2008,7
69,73,2,,2,4,6250,30.0,N,9,9,Y,8,2.0,22.0,7,2002,7,2010,2
70,74,1,N,2,4,9305,20.0,N,3,1,Y,1,1.0,17.0,0,2002,8,2003,5
71,75,1,N,2,5,7092,12.0,N,2,3,Y,6,0.0,0.0,2,2002,8,2011,3
72,76,1,N,1,5,9861,30.0,N,9,2,Y,3,3.0,21.0,5,2002,8,1999,9
74,78,1,N,2,5,8611,20.0,N,1,2,Y,1,2.0,22.0,3,2002,9,2009,6
75,79,1,Y,2,5,11409,99.0,N,3,1,Y,4,2.0,30.0,1,2002,9,2010,11
76,80,1,N,2,6,4722,30.0,N,25,2,Y,6,0.0,0.0,2,2002,10,2006,3
77,81,1,N,2,5,10277,20.0,N,3,1,Y,2,1.0,18.0,1,2002,10,2005,1
79,83,1,N,2,6,0,11.0,N,12,11,Y,25,0.0,0.0,10,2002,10,2011,3
81,85,1,N,2,5,28888,20.0,Y,3,2,Y,15,2.0,29.0,4,2002,11,2000,6
83,87,1,N,2,5,8601,11.0,N,9,5,Y,7,0.0,0.0,9,2002,11,2012,10
85,89,1,N,2,6,7338,12.0,Y,1,1,Y,8,0.0,0.0,0,1997,3,2003,7
87,91,1,N,2,6,21250,30.0,Y,3,2,Y,1,0.0,0.0,0,1992,5,2000,9
89,93,1,N,2,6,7777,20.0,Y,9,3,Y,1,1.0,35.0,12,1999,9,2000,8
91,95,1,N,2,6,6666,20.0,Y,25,2,Y,10,0.0,0.0,5,1983,4,2013,9
92,96,1,N,2,6,8611,20.0,Y,9,20,Y,8,1.0,26.0,17,1998,9,2002,3
95,100,1,N,2,6,4081,13.0,N,2,1,Y,2,0.0,0.0,0,2002,9,2009,9
97,102,1,N,2,6,8750,20.0,Y,25,17,Y,8,0.0,0.0,14,1996,4,2010,1
99,104,1,N,2,6,7778,12.0,Y,8,4,Y,8,1.0,35.0,3,1989,4,2009,8
100,105,1,N,2,6,17222,20.0,Y,3,3,Y,6,1.0,35.0,2,1993,6,2008,5
101,106,2,,2,6,9305,30.0,Y,9,7,Y,8,2.0,20.0,15,2002,2,2010,11
105,110,1,N,2,6,7683,11.0,Y,3,6,Y,8,1.0,34.0,5,1986,6,2012,5
106,111,1,N,2,5,6441,40.0,Y,2,26,Y,25,2.0,32.0,20,1991,7,2009,4
107,112,1,N,2,5,11944,30.0,N,3,2,Y,1,1.0,34.0,6,2002,2,2009,1
108,113,1,N,2,5,2263,99.0,Y,3,7,Y,7,2.0,32.0,6,2002,2,2003,3
109,114,1,N,2,5,10177,11.0,Y,9,1,Y,7,0.0,0.0,0,1989,11,2009,10
110,115,1,N,2,5,4816,12.0,Y,3,3,Y,7,2.0,30.0,4,1983,2,2015,12
111,116,2,,2,5,10710,11.0,Y,9,1,Y,12,2.0,29.0,4,1985,2,2016,2
112,117,1,N,2,5,16111,20.0,Y,1,10,Y,2,2.0,27.0,5,1994,9,2003,7
115,120,1,N,2,5,6805,20.0,Y,3,8,Y,18,2.0,30.0,5,1991,8,2003,3
116,121,1,N,2,5,10277,30.0,Y,2,7,Y,2,1.0,35.0,9,1990,11,2013,1
117,122,1,N,2,5,8968,40.0,Y,9,5,Y,8,2.0,30.0,1,1996,2,2004,5
118,123,2,,2,5,9722,20.0,Y,3,2,Y,1,3.0,23.0,3,1988,8,2004,4
119,124,1,N,2,5,23888,20.0,Y,3,2,Y,8,2.0,31.0,3,2000,7,2008,7
120,125,2,,2,5,2029,13.0,Y,3,4,Y,1,2.0,32.0,10,2001,2,2001,9
122,127,1,N,2,5,4544,13.0,Y,3,13,Y,8,2.0,22.0,14,1987,8,2013,3
124,129,1,N,2,5,28586,12.0,Y,9,3,Y,1,2.0,20.0,5,2002,4,2003,4
126,131,1,N,2,5,5972,30.0,Y,7,30,Y,7,3.0,26.0,48,1993,6,2009,10
127,132,1,N,2,5,28888,20.0,Y,9,23,Y,6,1.0,32.0,18,1992,2,2007,5
128,133,1,N,2,5,7500,30.0,Y,3,6,Y,10,0.0,0.0,8,2000,5,2002,7
129,134,1,N,2,5,11615,40.0,Y,8,10,Y,6,1.0,28.0,9,1992,5,2004,6
130,135,1,N,2,5,8874,12.0,Y,24,10,Y,2,2.0,24.0,9,1996,10,2003,1
131,136,1,N,2,5,11527,20.0,Y,24,2,Y,10,2.0,24.0,1,1996,6,2007,9
132,137,2,,1,5,14305,20.0,N,8,1,Y,9,2.0,21.0,1,2002,3,2013,1
133,138,1,N,2,5,28055,20.0,Y,9,2,Y,1,2.0,22.0,6,2002,2,2004,8
135,140,1,N,2,4,11111,30.0,Y,2,3,Y,6,2.0,23.0,3,1992,7,2003,5
136,141,1,N,2,4,6527,30.0,Y,9,8,Y,8,2.0,14.0,9,1996,8,2013,6
137,142,1,Y,2,4,13333,20.0,Y,3,3,Y,8,2.0,21.0,1,1994,11,2004,3
138,143,1,N,2,4,10833,30.0,Y,9,46,Y,9,2.0,18.0,22,1995,4,2001,7
139,144,1,N,2,4,29305,20.0,Y,1,2,Y,2,2.0,21.0,1,1999,2,1999,10
