CUST_ID,DIVIDED_SET,SIU_CUST_YN,TOTALPREM,MINCRDT,JPBASE_HSHD_INCM
1,1,N,146980441,,11337
2,1,N,94600109,1,6509
3,1,N,18501269,,4180
4,1,N,317223657,2,5914
5,1,N,10506072,8,8885
6,1,N,22313040,6,6449
7,1,Y,46522197,,3611
8,1,N,151085847,,12063
9,1,N,3666050,6,9821
12,1,N,135719262,6,13858
13,1,Y,33261687,6,
15,1,N,33336919,,4362
16,1,N,77429702,6,5620
17,1,N,10122595,,5869
18,1,N,10317997,10,10079
19,1,N,11323581,6,6120
20,1,N,52994443,6,9481
21,1,N,13105235,,3922
22,1,N,56516442,6,10174
23,1,N,7282800,,1379
24,1,N,69535310,6,9050
25,1,N,50382067,6,5323
26,1,Y,110828477,,9091
27,1,N,17240200,6,10737
28,1,N,210810180,2,
29,1,N,20961533,8,7331
30,1,N,11461734,6,3921
31,1,N,35723494,,4688
32,1,N,38109169,6,4909
33,1,N,16398268,6,9147
34,1,N,19827388,,5369
35,1,N,32935106,6,5557
36,1,N,37102242,,3560
37,2,,53761263,,5384
38,1,N,39052796,,4559
39,1,N,28755148,6,4709
40,1,N,23070333,6,4737
41,1,N,15284369,6,3161
42,1,N,14661864,,5735
43,1,N,23479401,,7237
44,1,N,22399454,,4326
45,1,N,59479946,6,5520
46,1,N,46508529,6,3953
47,1,N,25637391,7,3175
48,1,N,58480871,10,8201
49,1,N,168252203,6,5799
50,1,N,89310615,6,0
51,2,,162758082,6,10710
52,1,N,8355309,3,10026
53,1,N,29793646,,1534
54,1,Y,4670372,,5141
55,1,N,41070351,6,3953
56,1,Y,136720853,6,5677
57,1,N,88277470,6,7988
58,1,N,5958728,,2621
59,1,N,40099583,6,3949
60,2,,13323745,6,5126
61,1,N,15475047,7,4208
62,1,N,21350056,,10951
63,1,Y,33991326,,8145
64,1,N,133381160,6,5754
65,2,,5858640,6,3660
66,1,Y,12386724,9,7527
67,1,N,117113523,1,10700
68,1,N,102701437,4,9615
69,1,N,116980784,8,11319
70,1,N,80557731,6,4268
71,1,N,25394528,6,7094
72,1,N,29579013,6,5512
73,2,,91802397,6,8695
74,1,N,11726715,6,4211
75,1,N,35031840,,8065
76,1,N,26886714,,4096
77,1,N,25697202,,3458
78,1,N,20066022,6,10022
79,1,Y,19310189,,5079
80,1,N,25848033,6,2657
81,1,N,19065255,,4895
82,1,N,22807201,,4694
83,1,N,117742024,6,3545
84,1,N,38544420,,0
85,1,N,23891047,7,7328
86,1,Y,17839198,6,
87,1,N,57382549,7,7271
88,1,N,11233163,,2842
89,1,N,14150907,,2463
90,1,N,265780511,4,2723
91,1,N,27594184,,3186
92,1,Y,106661466,7,2705
93,1,N,38454466,,2583
94,1,N,50756594,,3501
95,1,N,26667196,4,3771
96,1,N,205180448,6,
98,1,N,49923496,6,8684
99,1,N,199009356,6,3226
100,1,N,18707651,4,4689
101,2,,22797444,,7905
102,1,N,175567836,6,2941
103,1,N,36743778,,10542
104,1,N,44543318,,0
105,1,N,34918955,5,6420
106,2,,78031083,6,6662
107,1,Y,1762800,,5904
108,1,N,226268870,6,5660
109,1,N,14727510,8,12949
110,1,N,66700377,2,4857
111,1,N,268123695,2,5177
112,1,N,21037203,6,4750
113,1,N,71465789,10,0
114,1,N,10225187,6,5738
115,1,N,35507360,,4073
116,2,,15678001,1,5786
117,1,N,105557022,,6400
118,1,N,59729609,6,3382
119,1,N,13173202,7,3598
120,1,N,84866703,6,4069
121,1,N,78923648,,5565
122,1,N,50143022,,7814
123,2,,29727858,,4384
124,1,N,25681232,,5252
125,2,,47081790,,4089
126,1,Y,11433036,7,3487
127,1,N,130538208,6,4212
128,1,N,50502716,10,5924
129,1,N,33299259,,9989
130,1,N,7464000,,
131,1,N,300330990,6,9967
132,1,N,235492914,1,10368
133,1,N,61460135,2,4741
134,1,N,102824796,5,6819
135,1,N,102641830,1,7985
136,1,N,21165546,,8427
137,2,,19713877,2,8654
138,1,N,27045096,,10952
139,2,,22220540,,5047
140,1,N,32069499,6,8283
141,1,N,86245013,6,9845
142,1,Y,37909281,,4350
143,1,N,460688668,5,8924
144,1,N,21557368,,10217
145,1,Y,140698549,8,10550
146,1,N,35589899,6,4690
147,1,N,104219725,6,3713
148,1,N,5734154,7,6997
149,1,N,2567269,6,0
151,1,N,43077725,8,4621
152,1,N,17750399,6,5006
153,1,N,22452762,6,4269
154,1,N,110700,6,3219
155,1,N,43574820,6,8500
156,1,N,37064921,6,4836
157,1,N,54980259,1,7902
158,1,N,115052286,,9509
159,1,N,11799054,,9161
160,1,N,5796710,,0
161,2,,30103010,6,4992
162,1,Y,8859190,,4549
163,1,N,26548407,,4812
164,1,N,55237237,8,3476
165,1,N,44599570,,3010
166,1,N,105409406,6,10378
167,1,N,168846676,6,
168,1,N,,7,4971
169,1,N,12372648,3,7163
205,1,N,1729850,,
206,1,N,27594800,,1545
207,1,N,1700876,,0
208,1,N,1659104,,1268
210,1,N,6095040,,0
211,1,N,3523480,,
212,1,N,5622009,,
213,1,N,38706064,,1666
214,1,N,1789500,,
216,1,N,24858168,,0
217,1,N,1295500,,
218,1,N,20741427,,1488
219,1,N,18544722,,1625
220,1,N,15098742,6,1477
221,1,N,12251817,,1744
222,1,N,13657262,,3468
224,1,N,5532600,5,0
227,1,N,6906630,,3572
228,1,N,27800,8,1858
229,1,N,2413963,,0
231,1,N,11716083,,2036
234,1,N,2782353,,2260
235,1,N,70950316,6,6145
236,1,N,28590633,7,1634
237,1,N,380727549,6,1558
238,1,N,15333003,,
239,2,,5088559,,1818
241,2,,6390592,,1422
242,1,N,32231742,,1571
244,1,N,7246366,,3255
245,1,N,11607092,6,1973
246,1,N,25392000,,0
