INDEX,CUST_ID,DIVIDED_SET,SIU_CUST_YN,SEX,AGE,RESI_COST,RESI_TYPE_CODE,FP_CAREER,OCCP_GRP,TOTALPREM,WEDD_YN,MATE_OCCP_GRP,CHLD_CNT,LTBN_CHLD_AGE,MAX_PRM,RGST_YEAR,RGST_MONTH,MAX_PAYM_YEAR,MAX_PAYM_MONTH
1,1,1,N,2,4,21111,20,N,1,14,Y,8,2,13,3,1999,10,2008,11
2,2,1,N,1,5,40000,20,N,1,9,Y,3,2,17,3,1999,10,2000,12
6,6,1,N,1,6,6218,99,N,11,2,Y,3,1,34,0,1999,10,2016,6
8,8,1,N,1,5,86527,20,Y,2,15,Y,9,1,21,102,1999,10,2006,10
9,9,1,N,1,5,22638,20,N,10,0,Y,10,1,13,0,1999,10,2002,7
10,12,1,N,1,5,37222,20,N,17,13,Y,4,2,23,7,1999,10,2004,3
11,13,1,Y,1,6,8140,50,N,6,3,Y,5,0,0,4,1999,10,1998,12
12,15,1,N,1,5,23055,20,N,1,3,Y,3,0,0,5,1999,10,2005,12
13,16,1,N,2,5,6684,12,N,3,7,Y,1,0,0,20,1999,10,2013,1
14,17,1,N,1,6,14027,20,N,8,1,Y,3,0,0,2,1999,10,2003,5
15,18,1,N,1,4,33333,20,N,8,1,Y,18,4,6,4,1999,10,2013,10
16,19,1,N,1,6,15833,20,N,2,1,Y,3,1,34,3,1999,11,1999,7
17,20,1,N,1,5,28888,20,N,2,5,Y,9,2,23,1,2000,3,2012,3
19,22,1,N,2,5,4309,12,Y,9,5,Y,2,2,22,4,2001,2,2012,8
20,23,1,N,1,8,7813,40,N,9,0,Y,9,0,0,0,2001,2,2015,8
21,24,1,N,2,5,1471,11,N,2,6,Y,1,1,35,5,2001,3,2004,9
22,25,1,N,2,4,30000,20,N,3,5,Y,5,2,15,21,2001,3,2006,10
23,26,1,Y,2,5,15555,20,Y,9,11,Y,2,2,28,19,2001,4,2001,3
24,27,1,N,1,5,36111,20,N,6,1,Y,4,2,29,2,2001,4,2003,1
25,28,1,N,1,6,17777,20,N,1,21,Y,9,1,29,26,2001,5,2011,8
27,30,1,N,2,5,4865,30,N,3,1,Y,9,0,0,2,2001,6,2000,10
29,32,1,N,2,5,15194,99,Y,3,3,Y,9,4,22,9,2001,6,2002,8
30,33,1,N,2,4,8888,20,N,12,1,Y,2,1,22,3,2001,7,2000,2
31,34,1,N,2,4,18888,20,N,3,1,Y,8,2,17,1,2001,7,2004,2
32,35,1,N,1,5,34631,20,N,8,3,Y,3,2,23,4,2001,7,2009,11
34,37,2,,2,4,14027,20,N,3,5,Y,1,2,19,4,2001,7,2003,2
35,38,1,N,2,4,13427,40,N,3,3,Y,2,2,17,3,2001,8,2005,11
36,39,1,N,2,4,8147,40,N,3,2,Y,6,2,8,1,2001,8,2009,3
37,40,1,N,1,5,7916,20,N,1,2,Y,3,2,22,2,2001,8,2015,10
38,41,1,N,2,4,15311,40,N,3,1,Y,12,2,19,3,2001,8,2001,2
39,42,1,N,2,5,10000,30,Y,3,1,Y,1,1,35,1,2001,8,2000,7
40,43,1,N,2,4,27777,20,N,9,2,Y,8,1,18,1,2001,8,2006,3
41,44,1,N,2,6,9861,20,N,3,2,Y,1,1,33,2,2001,8,2008,8
42,45,1,N,2,5,10555,20,N,9,5,Y,8,2,27,11,2001,8,2002,3
43,46,1,N,2,6,6666,20,N,9,4,Y,8,0,0,2,2001,9,2011,7
44,47,1,N,2,4,10441,99,Y,3,2,Y,12,3,18,5,2001,9,2003,2
45,48,1,N,2,4,20416,20,Y,2,5,Y,1,4,13,5,2001,9,2006,8
46,49,1,N,2,5,15015,11,N,3,16,Y,15,0,0,10,2001,9,2003,12
47,50,1,N,2,6,9189,99,N,3,8,Y,7,1,34,14,2001,9,2003,4
48,51,2,,2,4,26250,20,Y,9,16,Y,1,1,20,20,2001,10,2016,1
