,CLLT_FP_PRNO,INCB_DVSN,ETRS_YM,FIRE_YM,BEFO_JOB,EDGB,BRCH_CODE
0,6200,R,200306,200407,0,고졸,25.0
1,2316,R,200104,200904,1,대학원졸,11.0
2,6207,R,200306,200311,0,고졸,32.0
3,20797,R,198605,200804,0,고졸,59.0
4,26245,R,199707,201508,0,고졸,207.0
5,5175,R,200202,201002,0,고졸,262.0
6,5224,R,200202,201107,1,고졸,273.0
7,21030,R,198809,200606,0,고졸,129.0
8,26262,R,199706,200502,0,고졸,78.0
9,29464,R,199811,200804,0,고졸,45.0
10,6478,R,200308,201401,0,기타,21.0
11,27922,R,199812,200504,1,고졸,198.0
12,5481,R,200208,200502,0,고졸,47.0
13,25683,R,199605,201204,0,전문대졸,160.0
14,25425,P,199604,999912,0,기타,121.0
15,6720,R,200310,200403,0,기타,103.0
16,22629,P,199201,999912,0,고졸,167.0
17,5469,R,200208,200504,0,고졸,42.0
18,3729,R,200108,200408,0,고졸,204.0
19,3829,R,200111,200508,1,고졸,44.0
20,7389,R,200402,200412,0,기타,45.0
21,6668,R,200309,200407,0,기타,10.0
22,29681,R,199904,200411,0,기타,19.0
23,7550,R,200403,201503,0,기타,42.0
24,30446,R,199907,201311,0,기타,44.0
25,5642,R,200303,200408,0,대학졸,204.0
26,6974,R,200312,200502,0,기타,17.0
27,2224,R,200104,200408,1,기타,204.0
28,26116,R,199711,200507,0,고졸,16.0
29,24044,R,199506,201205,0,고졸,58.0
30,7172,R,200401,200511,0,기타,141.0
31,7060,R,200312,200408,0,고졸,74.0
32,6232,R,200307,200708,0,고졸,196.0
33,21634,P,199007,999912,0,기타,29.0
34,26441,R,199706,200706,0,고졸,59.0
35,8020,R,200406,200709,0,고졸,37.0
36,7623,R,200404,200707,0,기타,117.0
37,1595,R,200005,200711,0,고졸,111.0
38,7325,R,200402,200407,0,고졸,16.0
39,6170,R,200306,200407,0,고졸,105.0
40,29632,R,199910,200409,0,고졸,62.0
41,27013,P,199708,999912,0,고졸,136.0
42,8058,R,200407,200710,0,고졸,45.0
43,2879,R,200102,200412,1,고졸,86.0
44,27284,P,199708,999912,0,고졸,318.0
45,8143,R,200407,200505,0,고졸,146.0
46,21866,P,199011,999912,0,기타,55.0
47,25938,R,199703,200612,0,기타,117.0
48,3306,R,200104,200903,1,고졸,147.0
49,3834,R,200111,200504,1,기타,219.0
50,8351,R,200408,200511,0,기타,106.0
51,8137,R,200407,200508,0,기타,134.0
52,8367,R,200408,200603,1,고졸,68.0
53,29474,P,199811,999912,0,고졸,14.0
54,29378,R,199812,200910,0,고졸,156.0
55,23200,R,199309,200803,0,고졸,158.0
56,8885,R,200501,200611,0,전문대졸,107.0
57,8434,R,200409,200606,0,대학졸,37.0
58,8340,R,200408,200606,1,고졸,98.0
59,21412,R,198908,200704,0,고졸,128.0
60,8861,R,200501,200508,0,대학졸,80.0
61,8850,R,200412,200607,0,대학졸,98.0
62,7867,P,200405,999912,1,기타,269.0
63,1733,R,200007,201107,0,기타,141.0
64,27373,R,199710,200602,0,고졸,140.0
65,29010,R,199807,201109,0,고졸,116.0
66,8057,R,200407,200611,0,기타,154.0
67,9098,R,200503,200612,0,고졸,116.0
68,4764,P,200208,999912,0,기타,58.0
69,7702,R,200404,200703,1,고졸,95.0
70,25624,P,199608,999912,0,기타,167.0
71,2356,P,200106,999912,0,대학졸,25.0
72,9512,P,200506,999912,1,고졸,170.0
73,8863,R,200501,200606,0,기타,16.0
74,7713,R,200404,201105,0,고졸,281.0
75,9487,R,200506,200809,1,기타,118.0
76,22821,R,199312,200709,0,고졸,69.0
77,9303,R,200504,200802,1,전문대졸,89.0
78,4378,R,200205,200607,0,고졸,61.0
79,9483,R,200506,200808,0,기타,84.0
80,8779,R,200412,200607,0,고졸,147.0
81,10054,R,200511,200702,0,고졸,109.0
82,23762,P,199405,999912,0,고졸,116.0
83,6371,P,200308,999912,0,고졸,158.0
84,9481,R,200506,201407,0,기타,59.0
85,22097,P,199111,999912,0,기타,103.0
86,10012,R,200511,200605,0,전문대졸,119.0
87,20500,R,198502,200803,0,고졸,103.0
88,1599,P,200004,999912,0,전문대졸,111.0
89,8639,R,200410,200806,0,고졸,158.0
90,21249,R,198808,200902,0,기타,146.0
91,10057,R,200511,200805,0,전문대졸,57.0
92,10277,R,200601,200710,0,고졸,16.0
93,10394,R,200602,201305,0,고졸,25.0
94,22563,R,199206,200908,0,고졸,145.0
95,4450,R,200204,200607,0,고졸,74.0
96,10655,R,200603,200610,0,대학졸,78.0
97,5463,R,200208,200708,1,고졸,73.0
98,9475,R,200506,201509,0,기타,318.0
99,5940,R,200304,201104,0,고졸,279.0
100,24533,R,199508,200805,0,고졸,111.0
101,10620,R,200603,200702,0,기타,38.0
102,21575,P,199007,999912,0,고졸,55.0
103,24787,R,199508,200705,0,고졸,163.0
104,3442,R,200104,201405,1,대학졸,163.0
105,11037,R,200606,200710,0,고졸,83.0
106,4872,R,200210,200705,0,전문대졸,205.0
107,7994,R,200406,200803,0,고졸,37.0
108,11072,R,200607,200806,0,전문대졸,237.0
109,23405,R,199407,200802,0,대학원졸,49.0
110,10809,R,200605,200712,0,전문대졸,16.0
111,10046,R,200511,200704,0,기타,118.0
112,10564,P,200603,999912,0,기타,37.0
113,11315,R,200609,201201,0,고졸,50.0
114,8793,P,200412,999912,0,기타,154.0
115,11247,R,200608,201410,0,고졸,158.0
116,24305,P,199509,999912,0,기타,45.0
117,3533,R,200104,201508,0,전문대졸,143.0
118,10964,R,200606,200710,1,기타,51.0
119,11500,R,200610,200708,1,기타,63.0
120,5620,R,200304,200804,0,고졸,103.0
121,11540,R,200611,201107,0,전문대졸,49.0
122,10927,R,200606,201007,1,기타,51.0
123,4981,R,200209,200807,0,고졸,156.0
124,11211,R,200608,200708,1,기타,114.0
125,11695,R,200612,200808,0,고졸,80.0
126,7704,R,200404,201104,1,고졸,268.0
127,10869,R,200605,200712,0,고졸,125.0
128,11675,R,200612,200801,0,고졸,82.0
129,10624,R,200603,201511,0,기타,120.0
130,11349,R,200609,200710,0,기타,184.0
131,20602,R,197904,200707,0,기타,11.0
132,29721,R,199912,200905,0,고졸,11.0
133,11919,R,200702,200710,0,기타,42.0
134,11913,R,200702,200710,0,기타,118.0
135,12190,R,200705,200806,0,기타,75.0
136,11840,R,200701,200901,0,고졸,118.0
137,12271,R,200705,200805,0,기타,112.0
138,11823,R,200701,200808,0,기타,58.0
139,9922,P,200510,999912,0,고졸,58.0
140,10220,R,200512,201603,0,기타,118.0
141,11954,R,200702,200712,1,기타,51.0
142,12415,P,200707,999912,0,고졸,158.0
143,7730,R,200405,200812,0,대학졸,124.0
144,12710,R,200710,200901,0,전문대졸,150.0
145,12758,R,200710,201102,0,기타,121.0
146,2433,P,200101,999912,0,기타,19.0
147,5211,R,200202,201108,0,대학졸,274.0
148,11291,R,200608,200907,0,고졸,75.0
149,27722,P,199803,999912,0,고졸,16.0
150,12443,P,200707,999912,0,기타,305.0
151,22975,P,199308,999912,0,기타,82.0
152,12921,R,200711,200906,0,기타,113.0
153,28031,P,199806,999912,0,기타,14.0
154,13035,R,200712,200901,0,기타,158.0
155,13115,R,200801,200805,0,기타,17.0
156,13230,R,200802,201303,0,고졸,143.0
157,13189,R,200802,200812,0,기타,176.0
158,5965,R,200302,200912,0,고졸,106.0
159,21301,P,198906,999912,0,기타,11.0
160,11795,P,200701,999912,0,고졸,45.0
161,13528,R,200804,201002,1,기타,293.0
162,13423,R,200804,201503,0,기타,88.0
163,12643,R,200709,200812,0,기타,84.0
164,13175,R,200802,200812,0,기타,256.0
165,22734,P,199307,999912,0,기타,56.0
166,13161,R,200802,201501,0,대학졸,57.0
167,14019,R,200808,201301,1,고졸,187.0
168,21577,R,199005,201601,0,기타,19.0
169,8790,P,200412,999912,0,전문대졸,13.0
170,14269,R,200810,200906,1,대학졸,112.0
171,14134,R,200809,201101,0,고졸,90.0
172,14295,R,200810,201106,0,기타,21.0
173,14593,R,200901,201102,0,기타,112.0
174,25027,P,199608,999912,0,고졸,42.0
175,26127,P,199708,999912,0,고졸,16.0
176,14400,R,200811,201309,0,대학졸,110.0
177,13653,R,200806,201503,0,고졸,163.0
178,14220,R,200810,201112,0,고졸,19.0
179,14748,R,200903,201009,0,고졸,25.0
180,15176,R,200906,201104,1,고졸,281.0
181,14585,R,200901,201104,1,고졸,293.0
182,15291,R,200908,201104,0,대학졸,60.0
183,14752,R,200903,201012,0,기타,158.0
184,14499,R,200812,201508,0,고졸,116.0
185,14943,R,200904,201202,0,고졸,136.0
186,14335,R,200811,201001,0,대학졸,16.0
187,14773,R,200903,201012,0,고졸,100.0
188,14575,R,200901,201212,0,고졸,38.0
189,30341,R,199907,201109,0,고졸,32.0
190,11938,R,200702,201104,1,고졸,276.0
191,15865,R,201001,201112,0,기타,60.0
192,25358,P,199606,999912,0,고졸,84.0
193,15605,R,200910,201006,1,기타,204.0
194,15517,P,200910,999912,1,전문대졸,291.0
195,15964,R,201002,201202,0,대학원졸,78.0
196,16375,P,201005,999912,0,대학졸,303.0
197,25351,R,199606,201503,0,기타,88.0
198,3472,P,200110,999912,0,고졸,158.0
199,15551,R,200910,201110,0,대학졸,141.0
200,15632,R,200910,201410,0,기타,120.0
201,16043,P,201002,999912,1,고졸,269.0
202,15523,R,200910,201107,0,고졸,57.0
203,14358,P,200811,999912,0,고졸,158.0
204,16723,R,201008,201108,0,고졸,100.0
205,4965,P,200203,999912,0,기타,154.0
206,26228,P,199711,999912,0,고졸,13.0
207,13662,R,200806,201408,0,기타,57.0
208,11983,P,200703,999912,0,고졸,37.0
209,15584,P,200910,999912,0,고졸,45.0
210,16185,R,201003,201110,0,전문대졸,150.0
211,16113,R,201003,201302,0,전문대졸,57.0
212,17024,R,201012,201206,0,기타,47.0
213,14744,R,200903,201202,0,대학졸,156.0
214,14136,R,200809,201104,1,고졸,273.0
215,14954,P,200904,999912,0,기타,25.0
216,16362,R,201005,201502,0,고졸,305.0
217,17444,P,201104,999912,1,고졸,289.0
218,16039,P,201002,999912,1,기타,269.0
219,17393,R,201104,201305,0,기타,78.0
220,23151,P,199312,999912,0,기타,163.0
221,16915,R,201010,201407,0,고졸,38.0
222,16695,R,201008,201303,1,기타,265.0
223,17659,R,201106,201305,0,고졸,84.0
224,17669,P,201106,999912,1,고졸,279.0
225,15683,P,200911,999912,0,고졸,59.0
226,17094,R,201012,201208,1,전문대졸,171.0
227,16543,P,201007,999912,0,고졸,106.0
228,16204,R,201003,201501,0,전문대졸,86.0
229,18209,R,201201,201402,0,기타,136.0
230,18122,R,201112,201302,0,대학졸,319.0
231,9595,P,200507,999912,0,고졸,146.0
232,17661,R,201106,201205,0,고졸,44.0
233,17991,P,201110,999912,0,기타,167.0
234,14465,P,200812,999912,0,고졸,111.0
235,15957,P,201002,999912,0,기타,116.0
236,16035,P,201002,999912,1,고졸,287.0
237,17031,P,201012,999912,0,기타,125.0
238,18494,R,201205,201311,0,기타,259.0
239,18451,R,201205,201402,0,기타,29.0
240,18779,P,201209,999912,0,기타,78.0
241,18245,R,201202,201309,0,기타,146.0
242,18942,R,201211,201312,0,고졸,141.0
243,18194,R,201201,201302,0,기타,90.0
244,13191,P,200802,999912,0,기타,121.0
245,19129,R,201302,201310,0,기타,106.0
246,16750,P,201009,999912,0,기타,88.0
247,18975,P,201212,999912,0,기타,49.0
248,17907,P,201109,999912,0,고졸,45.0
249,19155,R,201302,201403,0,기타,19.0
250,18767,R,201209,201510,0,고졸,13.0
251,18958,R,201212,201403,0,기타,19.0
252,18529,R,201206,201311,0,대학졸,160.0
253,10431,P,200602,999912,1,기타,273.0
254,3054,R,200104,201412,1,기타,103.0
255,19245,R,201304,201501,0,대학졸,319.0
256,19448,R,201308,201403,0,기타,124.0
257,15794,P,200912,999912,0,대학졸,55.0
258,19557,R,201310,201407,0,기타,21.0
259,17361,P,201103,999912,1,기타,316.0
260,17788,P,201107,999912,1,기타,287.0
261,14848,R,200904,201603,0,대학졸,116.0
262,19148,P,201302,999912,0,중졸,146.0
263,6613,R,200309,201502,0,고졸,47.0
264,19670,R,201401,201502,0,기타,42.0
265,19928,R,201408,201511,1,고졸,273.0
266,19947,P,201409,999912,0,대학졸,302.0
267,11374,P,200609,999912,0,고졸,19.0
268,29944,P,199903,999912,0,고졸,58.0
269,20015,P,201412,999912,0,기타,154.0
270,23394,P,199410,999912,0,고졸,13.0
271,20193,P,201506,999912,0,기타,154.0
272,20241,P,201509,999912,0,기타,303.0
273,18630,P,201207,999912,0,기타,29.0
274,19589,P,201311,999912,0,기타,32.0
275,19180,P,201303,999912,0,기타,42.0
276,22295,R,199210,200810,0,기타,21.0
277,1077,R,200009,200704,0,대학졸,107.0
278,5647,R,200304,200411,1,기타,197.0
279,6230,R,200307,200808,0,고졸,167.0
280,23533,R,199401,200710,0,기타,37.0
281,3942,R,200111,201308,1,중졸,307.0
282,26955,R,199705,200503,0,고졸,145.0
283,6114,R,200302,200404,1,대학졸,199.0
284,5589,R,200204,200409,0,고졸,191.0
285,4825,R,200210,201008,0,고졸,141.0
286,5603,R,200209,200501,0,고졸,171.0
287,24378,P,199509,999912,0,기타,86.0
288,24888,R,199601,201001,0,고졸,55.0
289,2527,R,200107,201401,0,기타,322.0
290,7033,R,200312,200406,0,고졸,37.0
291,6773,R,200310,200503,0,기타,21.0
292,6495,R,200308,200411,0,고졸,45.0
293,24870,R,199603,200804,0,고졸,17.0
294,31506,P,199903,999912,0,기타,170.0
295,28927,R,199805,201501,0,고졸,111.0
296,6303,R,200307,200902,0,고졸,45.0
297,7120,R,200312,200406,0,기타,12.0
298,29802,P,199902,999912,1,기타,16.0
299,6799,R,200310,200412,0,기타,61.0
300,5072,R,200201,200408,1,고졸,220.0
301,31396,R,199907,200510,0,전문대졸,143.0
302,23757,R,199408,200410,0,고졸,134.0
303,6380,R,200308,200412,0,고졸,88.0
304,1261,R,200010,200503,0,고졸,82.0
305,3630,R,200105,200409,0,기타,204.0
306,7895,R,200406,200410,0,기타,24.0
307,2631,R,200103,200609,0,고졸,107.0
308,25554,P,199610,999912,0,기타,116.0
309,8080,R,200407,200509,0,기타,13.0
310,5341,R,200202,200608,1,고졸,85.0
311,7196,R,200401,200601,0,대학졸,171.0
312,7982,P,200406,999912,0,고졸,32.0
313,7005,P,200312,999912,0,기타,17.0
314,24401,P,199503,999912,0,고졸,88.0
315,7009,R,200312,200602,0,기타,74.0
316,7957,R,200406,200507,0,기타,141.0
317,28346,R,199803,200706,0,고졸,37.0
318,8125,R,200407,200911,0,고졸,125.0
319,8018,R,200406,200412,0,기타,74.0
320,8392,R,200409,200712,0,고졸,120.0
321,4924,R,200209,200509,0,고졸,158.0
322,8064,R,200407,200707,0,기타,11.0
323,6716,R,200310,200711,0,고졸,75.0
324,6027,P,200302,999912,0,대학졸,160.0
325,7272,P,200401,999912,0,기타,55.0
326,24383,P,199507,999912,0,기타,86.0
327,4736,R,200207,200704,0,고졸,111.0
328,8935,R,200501,200512,1,전문대졸,66.0
329,7614,P,200404,999912,0,고졸,11.0
330,26731,R,199707,200907,0,고졸,121.0
331,8768,R,200411,200512,1,기타,83.0
332,28297,P,199806,999912,0,고졸,32.0
333,9388,R,200505,200809,0,기타,74.0
334,8551,R,200409,200808,1,고졸,25.0
335,8988,R,200502,200511,1,기타,24.0
336,3809,R,200111,200812,1,고졸,235.0
337,9601,R,200507,200901,0,대학졸,150.0
338,6982,R,200312,200811,0,고졸,145.0
339,5424,R,200207,201104,1,대학졸,276.0
340,9178,R,200503,200601,1,고졸,89.0
341,9622,R,200507,200811,0,기타,121.0
342,9678,P,200508,999912,0,기타,11.0
343,9076,R,200503,200703,0,대학졸,96.0
344,8069,R,200407,200801,0,기타,146.0
345,24681,P,199511,999912,0,고졸,160.0
346,9417,R,200505,200606,1,대학졸,98.0
347,5613,R,200205,200706,1,대학졸,119.0
