CLLT_FP_PRNO,INCB_DVSN,ETRS_YM,FIRE_YM,BEFO_JOB,EDGB,BRCH_CODE
6200,R,200306,200407,기타,고졸,25
2316,R,200104,200904,보험관계인,대학원졸,11
6207,R,200306,200311,무직,고졸,32
20797,R,198605,200804,기타,고졸,59
26245,R,199707,201508,기타,고졸,207
5175,R,200202,201002,기타,고졸,262
5224,R,200202,201107,보험관계인,고졸,273
21030,R,198809,200606,기타,고졸,129
26262,R,199706,200502,무직,고졸,78
29464,R,199811,200804,기타,고졸,45
6478,R,200308,201401,기타,#,21
27922,R,199812,200504,보험관계인,고졸,198
5481,R,200208,200502,기타,고졸,47
25683,R,199605,201204,기타,전문대졸,160
25425,P,199604,999912,기타,#,121
6720,R,200310,200403,무직,#,103
22629,P,199201,999912,기타,고졸,167
5469,R,200208,200504,기타,고졸,42
3729,R,200108,200408,기타,고졸,204
3829,R,200111,200508,보험관계인,고졸,44
7389,R,200402,200412,기타,#,45
6668,R,200309,200407,기타,#,10
29681,R,199904,200411,기타,#,19
7550,R,200403,201503,기타,#,42
30446,R,199907,201311,무직,#,44
5642,R,200303,200408,기타,대학졸,204
6974,R,200312,200502,기타,#,17
2224,R,200104,200408,보험관계인,#,204
26116,R,199711,200507,기타,고졸,16
24044,R,199506,201205,기타,고졸,58
7172,R,200401,200511,기타,#,141
7060,R,200312,200408,기타,고졸,74
6232,R,200307,200708,무직,고졸,196
21634,P,199007,999912,기타,#,29
26441,R,199706,200706,기타,고졸,59
8020,R,200406,200709,무직,고졸,37
7623,R,200404,200707,기타,#,117
1595,R,200005,200711,기타,고졸,111
7325,R,200402,200407,기타,고졸,16
6170,R,200306,200407,기타,고졸,105
29632,R,199910,200409,무직,고졸,62
27013,P,199708,999912,기타,고졸,136
8058,R,200407,200710,기타,고졸,45
2879,R,200102,200412,보험관계인,고졸,86
27284,P,199708,999912,기타,고졸,318
8143,R,200407,200505,기타,고졸,146
21866,P,199011,999912,기타,#,55
25938,R,199703,200612,기타,#,117
3306,R,200104,200903,보험관계인,고졸,147
3834,R,200111,200504,보험관계인,#,219
8351,R,200408,200511,기타,#,106
8137,R,200407,200508,기타,#,134
8367,R,200408,200603,보험관계인,고졸,68
